id,source_folder,source_relative_path,remote_path,web_path,file_name,display_name,extension,size_bytes,mtime
1,根目录,20210729-国联证券-Smart_Beta系列一：成长因子的测试与优化.pdf,/mnt/research/研报/20210729-国联证券-Smart_Beta系列一：成长因子的测试与优化.pdf,reports/20210729-国联证券-Smart_Beta系列一：成长因子的测试与优化.pdf,20210729-国联证券-Smart_Beta系列一：成长因子的测试与优化.pdf,20210729-国联证券-Smart_Beta系列一：成长因子的测试与优化,pdf,3019611,2026-04-11T17:15:51.005786+00:00
2,东兴证券,东兴证券/20180803-东兴证券-金融工程多因子系列：价值投资的逻辑~高质量+低估值.pdf,/mnt/research/研报/东兴证券/20180803-东兴证券-金融工程多因子系列：价值投资的逻辑~高质量+低估值.pdf,reports/东兴证券/20180803-东兴证券-金融工程多因子系列：价值投资的逻辑~高质量+低估值.pdf,20180803-东兴证券-金融工程多因子系列：价值投资的逻辑~高质量+低估值.pdf,20180803-东兴证券-金融工程多因子系列：价值投资的逻辑~高质量+低估值,pdf,3333120,2026-04-11T17:15:44.567787+00:00
3,东兴证券,东兴证券/20181207-东兴证券-金融工程多因子专题报告：资金流向因子，主力资金更聪明钱.pdf,/mnt/research/研报/东兴证券/20181207-东兴证券-金融工程多因子专题报告：资金流向因子，主力资金更聪明钱.pdf,reports/东兴证券/20181207-东兴证券-金融工程多因子专题报告：资金流向因子，主力资金更聪明钱.pdf,20181207-东兴证券-金融工程多因子专题报告：资金流向因子，主力资金更聪明钱.pdf,20181207-东兴证券-金融工程多因子专题报告：资金流向因子，主力资金更聪明钱,pdf,3686570,2026-04-11T17:15:38.465787+00:00
4,东兴证券,东兴证券/20210802-东兴证券-海外文献速览系列之六：如何在多因子模型中识别有效因子_.pdf,/mnt/research/研报/东兴证券/20210802-东兴证券-海外文献速览系列之六：如何在多因子模型中识别有效因子_.pdf,reports/东兴证券/20210802-东兴证券-海外文献速览系列之六：如何在多因子模型中识别有效因子_.pdf,20210802-东兴证券-海外文献速览系列之六：如何在多因子模型中识别有效因子_.pdf,20210802-东兴证券-海外文献速览系列之六：如何在多因子模型中识别有效因子_,pdf,2097117,2026-04-11T17:15:31.539788+00:00
5,东兴证券,东兴证券/20211015-东兴证券-另辟蹊径系列之一：基于高频快照数据的行为追踪因子.pdf,/mnt/research/研报/东兴证券/20211015-东兴证券-另辟蹊径系列之一：基于高频快照数据的行为追踪因子.pdf,reports/东兴证券/20211015-东兴证券-另辟蹊径系列之一：基于高频快照数据的行为追踪因子.pdf,20211015-东兴证券-另辟蹊径系列之一：基于高频快照数据的行为追踪因子.pdf,20211015-东兴证券-另辟蹊径系列之一：基于高频快照数据的行为追踪因子,pdf,793332,2026-04-11T17:15:27.787788+00:00
6,东兴证券,东兴证券/20220717-东兴证券-海外文献速览系列之二十：股票左尾风险的度量以及其对收益率的预测作用.pdf,/mnt/research/研报/东兴证券/20220717-东兴证券-海外文献速览系列之二十：股票左尾风险的度量以及其对收益率的预测作用.pdf,reports/东兴证券/20220717-东兴证券-海外文献速览系列之二十：股票左尾风险的度量以及其对收益率的预测作用.pdf,20220717-东兴证券-海外文献速览系列之二十：股票左尾风险的度量以及其对收益率的预测作用.pdf,20220717-东兴证券-海外文献速览系列之二十：股票左尾风险的度量以及其对收益率的预测作用,pdf,2025340,2026-04-11T17:15:26.260788+00:00
7,东北证券,东北证券/20161207-东北证券-行为金融：基于盈利的锚定选股策略.pdf,/mnt/research/研报/东北证券/20161207-东北证券-行为金融：基于盈利的锚定选股策略.pdf,reports/东北证券/20161207-东北证券-行为金融：基于盈利的锚定选股策略.pdf,20161207-东北证券-行为金融：基于盈利的锚定选股策略.pdf,20161207-东北证券-行为金融：基于盈利的锚定选股策略,pdf,532756,2026-04-11T17:15:22.627788+00:00
8,东北证券,东北证券/20170605-东北证券-大类资产配置（4）：多资产多因子策略.pdf,/mnt/research/研报/东北证券/20170605-东北证券-大类资产配置（4）：多资产多因子策略.pdf,reports/东北证券/20170605-东北证券-大类资产配置（4）：多资产多因子策略.pdf,20170605-东北证券-大类资产配置（4）：多资产多因子策略.pdf,20170605-东北证券-大类资产配置（4）：多资产多因子策略,pdf,839761,2026-04-11T17:15:21.724788+00:00
9,东北证券,东北证券/20171107-东北证券-金融工程2018年度策略报告：FOF体系&多因子体系.pdf,/mnt/research/研报/东北证券/20171107-东北证券-金融工程2018年度策略报告：FOF体系&多因子体系.pdf,reports/东北证券/20171107-东北证券-金融工程2018年度策略报告：FOF体系&多因子体系.pdf,20171107-东北证券-金融工程2018年度策略报告：FOF体系&多因子体系.pdf,20171107-东北证券-金融工程2018年度策略报告：FOF体系&多因子体系,pdf,3161645,2026-04-11T17:15:20.207788+00:00
10,东北证券,东北证券/20180619-东北证券-股票流动性专题研究之一：非流动性因子改进暨因子回归框架再思考.pdf,/mnt/research/研报/东北证券/20180619-东北证券-股票流动性专题研究之一：非流动性因子改进暨因子回归框架再思考.pdf,reports/东北证券/20180619-东北证券-股票流动性专题研究之一：非流动性因子改进暨因子回归框架再思考.pdf,20180619-东北证券-股票流动性专题研究之一：非流动性因子改进暨因子回归框架再思考.pdf,20180619-东北证券-股票流动性专题研究之一：非流动性因子改进暨因子回归框架再思考,pdf,2553902,2026-04-11T17:15:14.329789+00:00
